image,package,old_version,advisory,severity,comparison,source
image-db,openssl,1:3.5.8-1.0.1.el9_8,ELSA-2026-50379,Medium,still_reported,https://linux.oracle.com/errata/ELSA-2026-50379.html
image-db,openssl-libs,1:3.5.8-1.0.1.el9_8,ELSA-2026-50379,Medium,still_reported,https://linux.oracle.com/errata/ELSA-2026-50379.html
image-db,openssl,1:3.5.8-1.0.1.el9_8,ELSA-2026-50345,Medium,still_reported,https://linux.oracle.com/errata/ELSA-2026-50345.html
image-db,openssl-libs,1:3.5.8-1.0.1.el9_8,ELSA-2026-50345,Medium,still_reported,https://linux.oracle.com/errata/ELSA-2026-50345.html
image-db,cryptography,46.0.5,GHSA-p423-j2cm-9vmq,Medium,not_reported_after_runtime_update,https://github.com/advisories/GHSA-p423-j2cm-9vmq
image-db,gnutls,3.8.10-8.el9_8,ELSA-2024-12364,Medium,still_reported,https://linux.oracle.com/errata/ELSA-2024-12364.html
image-db,gnutls,3.8.10-8.el9_8,ELSA-2026-50149,Medium,still_reported,https://linux.oracle.com/errata/ELSA-2026-50149.html
image-db,urllib3,2.6.3,GHSA-qccp-gfcp-xxvc,High,not_reported_after_runtime_update,https://github.com/advisories/GHSA-qccp-gfcp-xxvc
image-db,cryptography,46.0.5,GHSA-jwv3-5hgf-82ww,High,not_reported_after_runtime_update,https://github.com/advisories/GHSA-jwv3-5hgf-82ww
image-db,pip,25.3,GHSA-wf93-45jw-7689,Medium,not_reported_after_runtime_update,https://github.com/advisories/GHSA-wf93-45jw-7689
image-db,pip,25.3,GHSA-qwm4-qh6w-59xr,Medium,not_reported_after_runtime_update,https://github.com/advisories/GHSA-qwm4-qh6w-59xr
image-db,cryptography,46.0.5,GHSA-g6cj-pr64-35w5,High,not_reported_after_runtime_update,https://github.com/advisories/GHSA-g6cj-pr64-35w5
image-db,cryptography,46.0.5,GHSA-m2h6-j472-rp4c,Medium,not_reported_after_runtime_update,https://github.com/advisories/GHSA-m2h6-j472-rp4c
image-db,pip,25.3,GHSA-6vgw-5pg2-w6jp,Low,not_reported_after_runtime_update,https://github.com/advisories/GHSA-6vgw-5pg2-w6jp
image-db,libgcrypt,1.10.0-13.el9_8,ELSA-2026-500145,Medium,still_reported,https://linux.oracle.com/errata/ELSA-2026-500145.html
image-db,pip,25.3,GHSA-jp4c-xjxw-mgf9,Medium,not_reported_after_runtime_update,https://github.com/advisories/GHSA-jp4c-xjxw-mgf9
image-db,pip,25.3,GHSA-58qw-9mgm-455v,Medium,not_reported_after_runtime_update,https://github.com/advisories/GHSA-58qw-9mgm-455v
image-db,pyopenssl,25.3.0,GHSA-vp96-hxj8-p424,Low,not_reported_after_runtime_update,https://github.com/advisories/GHSA-vp96-hxj8-p424
image-db,cryptography,46.0.5,GHSA-m959-cc7f-wv43,Low,not_reported_after_runtime_update,https://github.com/advisories/GHSA-m959-cc7f-wv43
image-db,paramiko,4.0.0,GHSA-r374-rxx8-8654,Low,not_reported_after_runtime_update,https://github.com/advisories/GHSA-r374-rxx8-8654
image-db,golang.org/x/sys,v0.1.0,GO-2026-5024,Low,not_reported_after_runtime_update,https://go.dev/issue/78916
image-db,cryptography,46.0.5,GHSA-537c-gmf6-5ccf,High,not_reported_after_runtime_update,https://github.com/advisories/GHSA-537c-gmf6-5ccf
image-web,zlib,1.3.2-r0,CVE-2026-85091,High,still_reported,https://nvd.nist.gov/vuln/detail/CVE-2026-85091
image-web,busybox,1.37.0-r30,CVE-2025-60876,Medium,still_reported,https://nvd.nist.gov/vuln/detail/CVE-2025-60876
image-web,busybox-binsh,1.37.0-r30,CVE-2025-60876,Medium,still_reported,https://nvd.nist.gov/vuln/detail/CVE-2025-60876
image-web,ssl_client,1.37.0-r30,CVE-2025-60876,Medium,still_reported,https://nvd.nist.gov/vuln/detail/CVE-2025-60876
